Year,Publisher,Promedio de User_Score
1985,Activision,5.8
1996,Activision,8.7
1997,Activision,8.8
1997,Electronic Arts,9
1997,Konami Digital Entertainment,9.4
1998,Activision,9.1
1998,Electronic Arts,8.45
1998,Konami Digital Entertainment,8.833333333333334
1998,Namco Bandai Games,8.5
1999,Activision,9.2
1999,Electronic Arts,8.6
1999,Konami Digital Entertainment,9.2
1999,Namco Bandai Games,8.9
1999,Ubisoft,7.95
2000,Activision,7.128571428571428
2000,Electronic Arts,7.452941176470588
2000,Konami Digital Entertainment,7.800000000000001
2000,Namco Bandai Games,7.857142857142857
2000,THQ,7.533333333333334
2000,Ubisoft,7.354545454545455
2001,Activision,7.981250000000001
2001,Electronic Arts,7.859375000000002
2001,Konami Digital Entertainment,7.791666666666665
2001,Namco Bandai Games,7.583333333333333
2001,Nintendo,8.7
2001,THQ,7.699999999999999
2001,Ubisoft,7.621428571428572
2002,Activision,7.451724137931034
2002,Electronic Arts,7.876119402985077
2002,Konami Digital Entertainment,7.3
2002,Namco Bandai Games,8.066666666666665
2002,Nintendo,8.640000000000002
2002,THQ,6.786206896551724
2002,Ubisoft,7.105882352941176
2003,Activision,8.2
2003,Electronic Arts,7.870000000000002
2003,Konami Digital Entertainment,8.66470588235294
2003,Namco Bandai Games,8.177777777777779
2003,Nintendo,8.277777777777777
2003,THQ,7.611111111111111
2003,Ubisoft,7.7729729729729735
2004,Activision,8.04
2004,Electronic Arts,7.924999999999999
2004,Konami Digital Entertainment,7.858333333333333
2004,Namco Bandai Games,8.027272727272727
2004,Nintendo,7.993103448275861
2004,THQ,7.7
2004,Ubisoft,7.867999999999998
2005,Activision,7.652083333333334
2005,Electronic Arts,7.6196078431372545
2005,Konami Digital Entertainment,7.004
2005,Namco Bandai Games,7.4866666666666655
2005,Nintendo,7.924137931034483
2005,THQ,7.429166666666667
2005,Ubisoft,7.4222222222222225
2006,Activision,7.326470588235295
2006,Electronic Arts,7.302439024390241
2006,Konami Digital Entertainment,7.35217391304348
2006,Namco Bandai Games,7.190909090909089
2006,Nintendo,7.932142857142858
2006,THQ,7.137837837837837
2006,Ubisoft,7.011111111111111
2007,Activision,6.834042553191489
2007,Electronic Arts,7.0159574468085095
2007,Konami Digital Entertainment,7.561111111111111
2007,Namco Bandai Games,6.977777777777778
2007,Nintendo,7.791666666666667
2007,THQ,6.995454545454546
2007,Ubisoft,6.766666666666667
2008,Activision,6.804166666666667
2008,Electronic Arts,6.978021978021977
2008,Konami Digital Entertainment,6.9692307692307685
2008,Namco Bandai Games,7.690909090909091
2008,Nintendo,7.825000000000001
2008,THQ,6.606060606060608
2008,Ubisoft,7.06530612244898
2009,Activision,6.5128571428571425
2009,Electronic Arts,7.060975609756097
2009,Konami Digital Entertainment,7.394444444444446
2009,Namco Bandai Games,7.077777777777778
2009,Nintendo,8.29375
2009,THQ,7.030303030303031
2009,Ubisoft,7.254054054054054
2010,Activision,6.9976744186046504
2010,Electronic Arts,6.682608695652174
2010,Konami Digital Entertainment,6.858823529411764
2010,Namco Bandai Games,6.831818181818181
2010,Nintendo,7.55625
2010,THQ,6.9714285714285715
2010,Ubisoft,6.535897435897436
2011,Activision,4.9799999999999995
2011,Electronic Arts,6.514814814814816
2011,Konami Digital Entertainment,6.638461538461538
2011,Namco Bandai Games,6.990909090909091
2011,Nintendo,7.737500000000001
2011,THQ,6.71025641025641
2011,Ubisoft,6.593877551020409
2012,Activision,5.692000000000002
2012,Electronic Arts,6.174418604651161
2012,Konami Digital Entertainment,6.8235294117647065
2012,Namco Bandai Games,6.657894736842106
2012,Nintendo,7.459999999999999
2012,THQ,7.550000000000001
2012,Ubisoft,6.892592592592594
2013,Activision,5
2013,Electronic Arts,5.239473684210526
2013,Konami Digital Entertainment,6.25
2013,Namco Bandai Games,6.737499999999999
2013,Nintendo,7.983333333333333
2013,THQ,2.1
2013,Ubisoft,7.078260869565218
2014,Activision,5.570588235294118
2014,Electronic Arts,5.277777777777778
2014,Konami Digital Entertainment,6.846153846153845
2014,Namco Bandai Games,6.672727272727271
2014,Nintendo,7.819999999999999
2014,Ubisoft,6.8236842105263165
2015,Activision,5.489999999999998
2015,Electronic Arts,4.960869565217391
2015,Konami Digital Entertainment,6.94
2015,Namco Bandai Games,7.299999999999999
2015,Nintendo,7.489473684210527
2015,Ubisoft,6.166666666666668
2016,Activision,5.082352941176471
2016,Electronic Arts,5.557692307692308
2016,Konami Digital Entertainment,6.5
2016,Namco Bandai Games,7.794444444444443
2016,Nintendo,7.3125
2016,Ubisoft,7.084210526315789
