Publisher,Recuento de Name
Electronic Arts,1356
Activision,985
Namco Bandai Games,939
Ubisoft,933
Konami Digital Entertainment,834
THQ,715
Nintendo,706
Sony Computer Entertainment,687
Sega,638
Take-Two Interactive,422
Capcom,386
Atari,367
Tecmo Koei,348
Square Enix,236
Warner Bros. Interactive Entertainment,235
Disney Interactive Studios,218
Unknown,201
Eidos Interactive,198
Midway Games,198
505 Games,191
Microsoft Game Studios,191
Acclaim Entertainment,186
D3Publisher,184
Vivendi Games,164
Codemasters,150
Idea Factory,133
Deep Silver,121
Nippon Ichi Software,106
Zoo Digital Publishing,104
Majesco Entertainment,92
LucasArts,90
Rising Star Games,87
Hudson Soft,81
Bethesda Softworks,76
Banpresto,73
Crave Entertainment,71
Atlus,67
5pb,62
Infogrames,62
Virgin Interactive,62
Focus Home Interactive,61
Ignition Entertainment,61
Marvelous Interactive,56
N/A,54
Empire Interactive,53
SquareSoft,52
Kadokawa Shoten,50
Destineer,45
GT Interactive,45
PQube,45
DTP Entertainment,44
Alchemist,43
MTV Games,41
Global Star,39
Takara Tomy,38
Nordic Games,37
SouthPeak Games,37
Spike,37
3DO,36
TDK Mediactive,36
BAM! Entertainment,35
Black Bean Games,34
Zoo Games,33
Game Factory,32
Psygnosis,32
Mindscape,31
Enix Corporation,30
Interplay,30
Activision Value,29
Kalypso Media,29
Prototype,29
FuRyu,28
Arc System Works,27
Level 5,27
Telltale Games,27
Avanquest,26
Little Orbit,26
Midas Interactive Entertainment,24
Aqua Plus,23
Jaleco,23
Paradox Interactive,23
Universal Interactive,23
Broccoli,22
JoWood Productions,22
Oxygen Interactive,22
SNK,22
Compile Heart,21
Kemco,21
ASCII Entertainment,20
City Interactive,19
Storm City Games,19
Success,19
Taito,19
Titus,19
ChunSoft,18
Natsume,18
SNK Playmore,18
Tomy Corporation,18
Zushi Games,18
DreamCatcher Interactive,17
Koch Media,17
O-Games,17
Rocket Company,17
SCi,17
Falcom Corporation,16
GSP,16
Hasbro Interactive,16
Imagineer,16
Kadokawa Games,16
Mastiff,16
Takara,16
UFO Interactive,16
Enterbrain,15
From Software,15
Ghostlight,15
Milestone S.r.l.,15
PopCap Games,15
Sony Computer Entertainment Europe,15
989 Studios,14
Conspiracy Entertainment,14
CyberFront,14
Ocean,14
Play It,14
Playlogic Game Factory,14
Quinrose,14
Rondomedia,14
System 3 Arcade Software,14
Ubisoft Annecy,14
Acquire,13
Bigben Interactive,13
GungHo,13
Gust,13
Human Entertainment,13
Mastertronic,13
Nobilis,13
"Destination Software, Inc",12
Irem Software Engineering,12
Marvelous Entertainment,12
Mattel Interactive,12
Metro 3D,12
XS Games,12
GameMill Entertainment,11
Hudson Entertainment,11
Microids,11
Sammy Corporation,11
Yeti,11
Ackkstudios,10
Brash Entertainment,10
Cave,10
Scholastic Inc.,10
Starfish,10
Sunsoft,10
Xplosiv,10
ArtDink,9
ASCII Media Works,9
Foreign Media Games,9
Gathering of Developers,9
Gremlin Interactive Ltd,9
NewKidCo,9
Popcorn Arcade,9
Sting,9
Victor Interactive,9
Agetec,8
Aksys Games,8
Asgard,8
Aspyr,8
Avanquest Software,8
Evolved Games,8
Fox Interactive,8
Genki,8
JVC,8
MTO,8
NEC Interchannel,8
RTL,8
Telegames,8
Astragon,7
Big Ben Interactive,7
BMG Interactive Entertainment,7
Epoch,7
Gotham Games,7
Hackberry,7
Idea Factory International,7
LEGO Media,7
Neko Entertainment,7
Nihon Falcom Corporation,7
Nippon Columbia,7
Parker Bros.,7
Rage Software,7
Reef Entertainment,7
Sony Online Entertainment,7
Tru Blu Entertainment,7
Valcon Games,7
Alternative Software,6
Asylum Entertainment,6
Avalon Interactive,6
Benesse,6
Blast! Entertainment Ltd,6
CDV Software Entertainment,6
Comfort,6
Compile,6
dramatic create,6
Graffiti,6
Kaga Create,6
Microprose,6
Mumbo Jumbo,6
NCSoft,6
Paon,6
Russel,6
Screenlife,6
Seta Corporation,6
Square,6
Swing! Entertainment,6
20th Century Fox Video Games,5
AQ Interactive,5
bitComposer Games,5
Coleco,5
Crystal Dynamics,5
DSI Games,5
ESP,5
Funbox Media,5
FuRyu Corporation,5
Happinet,5
Hip Interactive,5
Home Entertainment Suppliers,5
IE Institute,5
Media Works,5
Mentor Interactive,5
Milestone S.r.l,5
Mojang,5
Nordcurrent,5
Pinnacle,5
Shogakukan,5
TDK Core,5
The Adventure Company,5
Time Warner Interactive,5
Tommo,5
Wanadoo,5
Xseed Games,5
Culture Brain,4
Daito,4
Encore,4
Excalibur Publishing,4
Focus Multimedia,4
Funsta,4
Gamecock,4
Global A Entertainment,4
Imagic,4
Interchannel,4
KID,4
Knowledge Adventure,4
Laguna,4
LSP Games,4
Mercury Games,4
Phenomedia,4
Pioneer LDC,4
PlayV,4
RedOctane,4
Slitherine Software,4
Sunrise Interactive,4
System Soft,4
TGL,4
TopWare Interactive,4
Touchstone,4
Trion Worlds,4
U.S. Gold,4
ValuSoft,4
Video System,4
Yacht Club Games,4
10TACLE Studios,3
1C Company,3
7G//AMES,3
Accolade,3
Aerosoft,3
Agatsuma Entertainment,3
Angel Studios,3
Arika,3
Aruze Corp,3
ASC Games,3
Ascaron Entertainment GmbH,3
Asmik Ace Entertainment,3
Creative Core,3
Daedalic,3
Daedalic Entertainment,3
Data Design Interactive,3
DHM Interactive,3
Essential Games,3
Experience Inc.,3
GN Software,3
Hect,3
Iceberg Interactive,3
Indie Games,3
Insomniac Games,3
Jack of All Games,3
Jester Interactive,3
Jorudan,3
Licensed 4U,3
Mad Catz,3
Maxis,3
MC2 Entertainment,3
Media Rings,3
Micro Cabin,3
Minato Station,3
Mud Duck Productions,3
Myelin Media,3
NCS,3
NEC,3
NovaLogic,3
O3 Entertainment,3
P2 Games,3
Princess Soft,3
Rebellion Developments,3
Red Storm Entertainment,3
Slightly Mad Studios,3
Sony Computer Entertainment America,3
Telstar,3
Tigervision,3
Tivola,3
Tradewest,3
Valve Software,3
Vir2L Studios,3
Xicat Interactive,3
Yuke's,3
Alawar Entertainment,2
Alvion,2
Arena Entertainment,2
Asmik Corp,2
Athena,2
Big Fish Games,2
Blue Byte,2
BPS,2
CCP,2
Cloud Imperium Games Corporation,2
Coconuts Japan,2
Core Design Ltd.,2
Crimson Cow,2
CTO SpA,2
Data Age,2
Data East,2
Datam Polystar,2
Devolver Digital,2
Dorart,2
Dusenberry Martin Racing,2
Easy Interactive,2
Edia,2
Electronic Arts Victor,2
Elf,2
Flashpoint Games,2
Flight-Plan,2
Funcom,2
G.Rev,2
Gainax Network Systems,2
Gakken,2
Game Life,2
Gamebridge,2
Gearbox Software,2
Groove Games,2
Hamster Corporation,2
Harmonix Music Systems,2
HMH Interactive,2
HuneX,2
imageepoch Inc.,2
Introversion Software,2
Lexicon Entertainment,2
Liquid Games,2
Magix,2
Mamba Games,2
Media Factory,2
Misawa,2
MLB.com,2
Moss,2
NetRevo,2
Nippon Telenet,2
Nitroplus,2
Office Create,2
Pack-In-Video,2
Performance Designed Products,2
Rebellion,2
Red Orb,2
responDESIGN,2
Revolution Software,2
Sold Out,2
Sonnet,2
Stainless Games,2
Sweets,2
Syscom,2
System 3,2
Tripwire Interactive,2
Vatical Entertainment,2
Vic Tokai,2
Views,2
Virtual Play Games,2
Yamasa Entertainment,2
Zenrin,2
2D Boy,1
49Games,1
989 Sports,1
Abylight,1
Activision Blizzard,1
Adeline Software,1
Altron,1
American Softworks,1
Answer Software,1
Aques,1
Aria,1
Ascaron Entertainment,1
ASK,1
Axela,1
Berkeley,1
Black Label Games,1
Bohemia Interactive,1
Bomb,1
Boost On,1
BushiRoad,1
CBS Electronics,1
Codemasters Online,1
CokeM Interactive,1
Commseed,1
CPG Products,1
Crytek,1
Culture Publishers,1
Cygames,1
Detn8 Games,1
DigiCube,1
DreamWorks Interactive,1
EA Games,1
Ecole,1
Elite,1
Enjoy Gaming ltd.,1
EON Digital Entertainment,1
Epic Games,1
Ertain,1
Evolution Games,1
Extreme Entertainment Group,1
Fields,1
fonfun,1
Fortyfive,1
Fuji,1
FunSoft,1
Gaga,1
Game Arts,1
Gameloft,1
Games Workshop,1
GameTek,1
General Entertainment,1
Genterprise,1
Giga,1
Giza10,1
Glams,1
GOA,1
Grand Prix Games,1
Graphsim Entertainment,1
Griffin International,1
HAL Laboratory,1
Havas Interactive,1
Headup Games,1
Hearty Robin,1
Hello Games,1
Her Interactive,1
id Software,1
Illusion Softworks,1
Imadio,1
Image Epoch,1
Imageworks,1
Imax,1
Interchannel-Holon,1
Interplay Productions,1
"Interworks Unlimited, Inc.",1
Inti Creates,1
inXile Entertainment,1
ITT Family Games,1
Ivolgamus,1
iWin,1
Just Flight,1
Kamui,1
Kando Games,1
Karin Entertainment,1
Kids Station,1
King Records,1
Kokopeli Digital Studios,1
Kool Kizz,1
KSS,1
Legacy Interactive,1
Lighthouse Interactive,1
Locus,1
Magical Company,1
Marvel Entertainment,1
Marvelous Games,1
Masque Publishing,1
Max Five,1
Maximum Family Games,1
Media Entertainment,1
MediaQuest,1
Men-A-Vision,1
Merscom LLC,1
Michaelsoft,1
Milestone,1
Mirai Shounen,1
Mitsui,1
"mixi, Inc",1
Monte Christo Multimedia,1
Mycom,1
Mystique,1
Navarre Corp,1
Naxat Soft,1
NDA Productions,1
New,1
New World Computing,1
Nexon,1
Nichibutsu,1
Nippon Amuse,1
Number None,1
On Demand,1
Ongakukan,1
Origin Systems,1
Otomate,1
Pacific Century Cyber Works,1
Pack In Soft,1
Palcom,1
Panther Software,1
Paon Corporation,1
Paradox Development,1
Phantagram,1
Phantom EFX,1
Phoenix Games,1
Piacci,1
Playmates,1
Playmore,1
Plenty,1
PM Studios,1
Pony Canyon,1
PopTop Software,1
Pow,1
Quelle,1
Quest,1
Quintet,1
RED Entertainment,1
Red Flagship,1
Revolution (Japan),1
Riverhillsoft,1
Saurus,1
SCS Software,1
Sears,1
Seventh Chord,1
Simon & Schuster Interactive,1
Societa,1
Sony Music Entertainment,1
Sony Oznline Entertainment,1
SPS,1
Square EA,1
SSI,1
Starpath Corp.,1
Strategy First,1
Summitsoft,1
Sunflowers,1
T&E Soft,1
Takuyo,1
TalonSoft,1
Team17 Software,1
Technos Japan Corporation,1
TechnoSoft,1
Tetris Online,1
The Learning Company,1
TOHO,1
Tryfirst,1
TYO,1
Type-Moon,1
UEP Systems,1
UIG Entertainment,1
Ultravision,1
Universal Gamex,1
Valve,1
Vap,1
Visco,1
Warashi,1
Wargaming.net,1
Warp,1
WayForward Technologies,1
Westwood Studios,1
White Park Bay Software,1
Wizard Video Games,1
Xing Entertainment,1
Yumedia,1
