Sales,Publisher
0,10TACLE Studios
0.01,1C Company
0.01,20th Century Fox Video Games
0.01,2D Boy
0.6300000000000001,3DO
0,49Games
5.309999999999992,505 Games
0,5pb
0,7G//AMES
0.02,989 Sports
0.6700000000000002,989 Studios
0.01,Abylight
3.4499999999999966,Acclaim Entertainment
0.07,Accolade
0.01,Ackkstudios
0.03,Acquire
75.81000000000016,Activision
0.03,Activision Blizzard
0.5700000000000002,Activision Value
0.01,Adeline Software
0,Aerosoft
0.01,Agatsuma Entertainment
0.19000000000000003,Agetec
0.04,Aksys Games
0.01,Alawar Entertainment
0.15,Alchemist
0.02,Alternative Software
0,Altron
0,Alvion
0.02,American Softworks
0,Angel Studios
0.01,Answer Software
0.05,AQ Interactive
0.02,Aqua Plus
0.01,Aques
0.11,Arc System Works
0.14,Arena Entertainment
0,Aria
0.01,Arika
0.04,ArtDink
0.08,Aruze Corp
0.13,ASC Games
0,Ascaron Entertainment
0.02,Ascaron Entertainment GmbH
0.3600000000000001,ASCII Entertainment
0,ASCII Media Works
0,Asgard
0,ASK
0.01,Asmik Ace Entertainment
0,Asmik Corp
0.05,Aspyr
0.06,Astragon
0.060000000000000005,Asylum Entertainment
8.899999999999979,Atari
0,Athena
0.6900000000000002,Atlus
0.03,Avalon Interactive
0.24,Avanquest
0.16000000000000003,Avanquest Software
0.02,Axela
0.24,BAM! Entertainment
0.3600000000000001,Banpresto
0,Benesse
0,Berkeley
10.369999999999992,Bethesda Softworks
0.060000000000000005,Big Ben Interactive
0,Big Fish Games
0.09,Bigben Interactive
0.07,bitComposer Games
0.38000000000000006,Black Bean Games
0.15,Black Label Games
0.03,Blast! Entertainment Ltd
0,Blue Byte
0.07,BMG Interactive Entertainment
0.01,Bohemia Interactive
0,Bomb
0,Boost On
0,BPS
0.10999999999999999,Brash Entertainment
0,Broccoli
0,BushiRoad
14.529999999999962,Capcom
0.01,Cave
0,CBS Electronics
0.03,CCP
0.01,CDV Software Entertainment
0.08,ChunSoft
0.5200000000000001,City Interactive
0,Cloud Imperium Games Corporation
0,Coconuts Japan
6.0399999999999885,Codemasters
0,Codemasters Online
0.02,CokeM Interactive
0.03,Coleco
0,Comfort
0,Commseed
0.1,Compile
0.060000000000000005,Compile Heart
0.05,Conspiracy Entertainment
0.02,Core Design Ltd.
0.01,CPG Products
0.6600000000000001,Crave Entertainment
0,Creative Core
0.01,Crimson Cow
0.11999999999999998,Crystal Dynamics
0.02,Crytek
0.06,CTO SpA
0,Culture Brain
0.01,Culture Publishers
0,CyberFront
0,Cygames
2.8199999999999967,D3Publisher
0.04,Daedalic
0,Daedalic Entertainment
0,Daito
0,Data Age
0.02,Data Design Interactive
0,Data East
0,Datam Polystar
2.759999999999995,Deep Silver
0.03,"Destination Software, Inc"
0.27000000000000013,Destineer
0.02,Detn8 Games
0,Devolver Digital
0.01,DHM Interactive
0,DigiCube
12.949999999999983,Disney Interactive Studios
0,Dorart
0,dramatic create
0.05,DreamCatcher Interactive
0.01,DreamWorks Interactive
0.01,DSI Games
0.44000000000000017,DTP Entertainment
0.01,Dusenberry Martin Racing
0.02,EA Games
0,Easy Interactive
0,Ecole
0,Edia
7.969999999999985,Eidos Interactive
128.96000000000004,Electronic Arts
