name,platform,year_of_release,gendre,publisher,developer,rating
Asteroids,2600,1980,Shooter,Atari,,
Missile Command,2600,1980,Shooter,Atari,,
Kaboom!,2600,1980,Misc,Activision,,
Defender,2600,1980,Misc,Atari,,
Boxing,2600,1980,Fighting,Activision,,
Ice Hockey,2600,1980,Sports,Activision,,
Freeway,2600,1980,Action,Activision,,
Bridge,2600,1980,Misc,Activision,,
Checkers,2600,1980,Misc,Atari,,
Pitfall!,2600,1981,Platform,Activision,,
Frogger,2600,1981,Action,Parker Bros.,,
Demon Attack,2600,1981,Shooter,Imagic,,
E.T.: The Extra Terrestrial,2600,1981,Action,Atari,,
Ms. Pac-Man,2600,1981,Puzzle,Atari,,
River Raid,2600,1981,Shooter,Activision,,
Donkey Kong,2600,1981,Platform,Coleco,,
Centipede,2600,1981,Shooter,Atari,,
Atlantis,2600,1981,Shooter,Imagic,,
Megamania,2600,1981,Shooter,Activision,,
Cosmic Ark,2600,1981,Shooter,Imagic,,
Donkey Kong Junior,2600,1981,Platform,Atari,,
Spider-Man,2600,1981,Action,Parker Bros.,,
Custer's Revenge,2600,1981,Action,Mystique,,
Alien,2600,1981,Action,20th Century Fox Video Games,,
Air Raid,2600,1981,Action,Men-A-Vision,,
Berzerk,2600,1981,Shooter,Atari,,
King Kong,2600,1981,Action,Tigervision,,
Adventures of Tron,2600,1981,Action,Mattel Interactive,,
BurgerTime,2600,1981,Puzzle,Mattel Interactive,,
Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,,
Raiders of the Lost Ark,2600,1981,Action,Atari,,
Grand Prix,2600,1981,Racing,Activision,,
Phoenix,2600,1981,Simulation,Atari,,
Jawbreaker,2600,1981,Action,Tigervision,,
Barnstorming,2600,1981,Action,Activision,,
Mouse Trap,2600,1981,Action,Coleco,,
Laser Blast,2600,1981,Action,Activision,,
Airlock,2600,1981,Action,Data Age,,
Dragonfire,2600,1981,Action,Imagic,,
Frogs And Flies,2600,1981,Action,Mattel Interactive,,
Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,,
Carnival,2600,1981,Shooter,Coleco,,
